;k;g;a;xE;CLUSTER;expP;stdE;xP;stdP;KG
966;100.0;90.0;1.0;0.5246877321223886;0.0;1.4553590520109372;0.0014466395433587616;2.820515917857106;0.003167579193684202;1.1111111111111112
9;100.0;100.0;0.5;29.787076938322553;0.0;0.5840903722102243;0.002909117479137941;65.63944509621173;0.00473119832832266;1.0
105;100.0;100.0;0.55;42.021699827606;0.0;0.4949833597651868;0.004393084112622668;24.405736890111356;0.003495235872504309;1.0
204;100.0;100.0;0.6;67.89404133855676;0.0;0.4453770064078622;0.007054859017358309;1.2055964500435945;0.0009367652464635713;1.0
302;100.0;100.0;0.65;69.57175101791293;0.0;0.4448498723397827;0.008520714769404813;1.1033421624376865;0.001038083531537849;1.0
401;100.0;100.0;0.7;55.130444785471276;0.0;0.4962961908161809;0.008124264552110556;1.0653695952791016;0.0011145029993549838;1.0
501;100.0;100.0;0.75;37.60226254071097;0.0;0.5832843466470962;0.006848268842450761;1.6464505176584685;0.0014655208549302133;1.0
600;100.0;100.0;0.8;23.270377976033625;0.0;0.700731201514146;0.005458230290663454;3.5520205527164888;0.0022513553809719628;1.0
696;100.0;100.0;0.85;12.809652059604108;0.0;0.8456324817967547;0.0041631798967973095;5.358385243032034;0.002944083560535449;1.0
789;100.0;100.0;0.9;5.892475599473068;0.0;1.0138587962527084;0.003034320816296034;5.917198299512753;0.0033630786607343434;1.0
878;100.0;100.0;0.95;2.2755199215117328;0.0;1.1987371918262757;0.002213380418481081;4.999688170712906;0.003434730719339096;1.0
967;100.0;100.0;1.0;0.7726617428894259;0.0;1.3962349964963017;0.0016136087998264742;3.434903672637397;0.003261570201470013;1.0
10;200.0;10.0;0.5;25.634968277672574;0.0;0.7771510894908983;0.006203895857873396;0.3016429661483506;0.0007236427489826403;20.0
106;200.0;10.0;0.55;15.518457651182684;0.0;0.9848368589933124;0.005272636144773363;0.04931868236603055;0.00034810102545393596;20.0
205;200.0;10.0;0.6;6.426399449643237;0.0;1.2360835699950865;0.003939458761575274;0.01036187595892882;0.00019772246505179642;20.0
303;200.0;10.0;0.65;2.02776729547316;0.0;1.5429093839155557;0.0031416497520036658;0.0037807524615563358;0.00015171943792548532;20.0
402;200.0;10.0;0.7;0.5488505231422901;0.0;1.927958692753284;0.002630886292969222;0.002153116161401237;0.00013593986640454602;20.0
502;200.0;10.0;0.75;0.13345893937540154;0.0;2.4205722464850488;0.0021700905656712897;0.0017762546601049671;0.00014458833978719406;20.0
601;200.0;10.0;0.8;0.02919588245682026;0.0;3.0606398486708466;0.001711341005469087;0.001405902455652658;0.00015961249239246217;20.0
697;200.0;10.0;0.85;0.005567535575918565;0.0;3.770617951243056;0.0012687927450588644;0.0017612683781324046;0.000403944690281705;20.0
790;200.0;10.0;0.9;0.0009103929316268783;0.0;3.8204919203549648;0.0008873154952968895;0.013791505979666748;0.003469352510467288;20.0
879;200.0;10.0;0.95;0.0003447617428363076;0.0;3.931329325248481;0.0011459796559161511;0.011567134345336835;0.007022098376568207;20.0
968;200.0;10.0;1.0;0.0006481880304098949;0.0;4.0024286346715146;0.003259585133727381;0.0052495330437080205;0.012523207265025468;20.0
11;200.0;20.0;0.5;36.44576243403006;0.0;0.5292781989910341;0.00558056568344411;4.579022966745018;0.0020421230674268517;10.0
107;200.0;20.0;0.55;31.32281837810036;0.0;0.6946076471154411;0.005260698000716086;3.879443277923297;0.001986758912799068;10.0
206;200.0;20.0;0.6;22.078053831848727;0.0;0.8874563713332341;0.004612380000388479;2.4185267149747447;0.0017557536405494235;10.0
